	ej3_3grad			
t	x	y	r	θ	
5.800	39.42	2.028	39.47	2.9
5.833	39.42	2.028	39.47	2.9
5.867	39.39	1.822	39.43	2.6
5.900	39.36	1.568	39.39	2.3
5.933	39.34	1.269	39.36	1.8
5.967	39.30	0.940	39.31	1.4
6.000	39.25	0.579	39.26	0.8
6.033	39.22	0.230	39.22	0.3
6.067	39.20	-0.131	39.20	-0.2
6.100	39.17	-0.487	39.18	-0.7
6.133	39.14	-0.805	39.15	-1.2
6.167	39.14	-1.091	39.15	-1.6
6.200	39.12	-1.328	39.14	-1.9
6.233	39.13	-1.505	39.16	-2.2
6.267	39.14	-1.625	39.17	-2.4
6.300	39.14	-1.674	39.18	-2.4
6.333	39.16	-1.660	39.20	-2.4
6.367	39.21	-1.585	39.25	-2.3
6.400	39.24	-1.445	39.27	-2.1
6.433	39.28	-1.237	39.30	-1.8
6.467	39.31	-0.985	39.32	-1.4
6.500	39.37	-0.689	39.38	-1.0
6.533	39.41	-0.350	39.41	-0.5
6.567	39.45	-3.370E-3	39.45	-0.0
6.600	39.47	0.353	39.47	0.5
6.633	39.48	0.714	39.49	1.0
6.667	39.48	1.063	39.50	1.5
6.700	39.48	1.385	39.50	2.0
6.733	39.46	1.665	39.49	2.4
6.767	39.45	1.884	39.49	2.7
6.800	39.44	2.054	39.49	3.0
6.833	39.40	2.175	39.46	3.2
6.867	39.37	2.220	39.43	3.2
6.900	39.34	2.195	39.40	3.2
6.933	39.32	2.111	39.37	3.1
6.967	39.28	1.956	39.33	2.9
7.000	39.27	1.740	39.30	2.5
7.033	39.24	1.474	39.27	2.2
7.067	39.22	1.173	39.23	1.7
7.100	39.19	0.846	39.20	1.2
7.133	39.16	0.505	39.16	0.7
7.167	39.14	0.155	39.14	0.2
7.200	39.11	-0.180	39.11	-0.3
7.233	39.09	-0.504	39.09	-0.7
7.267	39.08	-0.790	39.09	-1.2
7.300	39.07	-1.049	39.09	-1.5
7.333	39.07	-1.259	39.09	-1.8
7.367	39.06	-1.410	39.09	-2.1
7.400	39.06	-1.505	39.09	-2.2
7.433	39.07	-1.527	39.10	-2.2
7.467	39.11	-1.488	39.14	-2.2
7.500	39.14	-1.390	39.17	-2.0
7.533	39.18	-1.238	39.20	-1.8
7.567	39.22	-1.028	39.23	-1.5
7.600	39.26	-0.781	39.27	-1.1
7.633	39.30	-0.479	39.30	-0.7
7.667	39.32	-0.165	39.32	-0.2
7.700	39.35	0.165	39.35	0.2
7.733	39.37	0.502	39.37	0.7
7.767	39.37	0.835	39.38	1.2
7.800	39.37	1.150	39.39	1.7
7.833	39.37	1.422	39.40	2.1
7.867	39.36	1.674	39.39	2.4
7.900	39.36	1.834	39.40	2.7
7.933	39.32	1.947	39.37	2.8
7.967	39.30	2.000	39.35	2.9
8.000	39.29	1.991	39.34	2.9
8.033	39.27	1.915	39.32	2.8
8.067	39.24	1.787	39.28	2.6
8.100	39.21	1.596	39.24	2.3
8.133	39.19	1.354	39.22	2.0
8.167	39.16	1.078	39.17	1.6
8.200	39.12	0.771	39.13	1.1
8.233	39.10	0.440	39.11	0.6
8.267	39.09	0.103	39.09	0.2
8.300	39.08	-0.239	39.08	-0.4
8.333	39.06	-0.570	39.07	-0.8
8.367	39.04	-0.864	39.05	-1.3
8.400	39.03	-1.122	39.05	-1.6
8.433	39.03	-1.333	39.05	-2.0
8.467	39.03	-1.494	39.06	-2.2
8.500	39.04	-1.605	39.08	-2.4
8.533	39.06	-1.655	39.09	-2.4
8.567	39.07	-1.638	39.11	-2.4
8.600	39.09	-1.563	39.13	-2.3
8.633	39.13	-1.420	39.15	-2.1
8.667	39.17	-1.233	39.19	-1.8
8.700	39.21	-0.998	39.22	-1.5
8.733	39.25	-0.730	39.25	-1.1
8.767	39.27	-0.427	39.27	-0.6
8.800	39.29	-0.109	39.29	-0.2
8.833	39.32	0.219	39.32	0.3
8.867	39.34	0.533	39.34	0.8
8.900	39.34	0.837	39.35	1.2
8.933	39.33	1.104	39.34	1.6
8.967	39.31	1.334	39.34	1.9
9.000	39.30	1.513	39.33	2.2
9.033	39.29	1.648	39.32	2.4
9.067	39.26	1.736	39.30	2.5
9.100	39.23	1.756	39.27	2.6
9.133	39.20	1.705	39.24	2.5
9.167	39.18	1.596	39.21	2.3
9.200	39.16	1.419	39.19	2.1
9.233	39.13	1.203	39.14	1.8
9.267	39.11	0.952	39.12	1.4
9.300	39.08	0.664	39.09	1.0
9.333	39.07	0.363	39.07	0.5
9.367	39.04	4.442E-2	39.04	0.1
9.400	39.01	-0.274	39.01	-0.4
9.433	38.99	-0.584	38.99	-0.9
9.467	38.98	-0.874	38.99	-1.3
9.500	38.99	-1.154	39.01	-1.7
9.533	38.99	-1.380	39.01	-2.0
9.567	39.00	-1.554	39.03	-2.3
9.600	39.00	-1.665	39.04	-2.4
9.633	39.01	-1.708	39.05	-2.5
9.667	39.03	-1.724	39.07	-2.5
9.700	39.08	-1.683	39.11	-2.5
9.733	39.12	-1.590	39.15	-2.3
9.767	39.17	-1.435	39.20	-2.1
9.800	39.22	-1.219	39.24	-1.8
9.833	39.27	-0.965	39.28	-1.4
9.867	39.32	-0.686	39.33	-1.0
9.900	39.36	-0.391	39.36	-0.6
9.933	39.39	-0.102	39.39	-0.1

