	L1			
t	x	y	r	θ	
6.000	2.135	0.131	2.139	3.5
6.033	2.136	0.105	2.138	2.8
6.067	2.136	6.804E-2	2.137	1.8
6.100	2.136	2.758E-2	2.136	0.7
6.133	2.135	-1.868E-2	2.135	-0.5
6.167	2.134	-6.459E-2	2.135	-1.7
6.200	2.134	-0.107	2.137	-2.9
6.233	2.133	-0.146	2.138	-3.9
6.267	2.132	-0.177	2.139	-4.8
6.300	2.131	-0.198	2.140	-5.3
6.333	2.130	-0.211	2.140	-5.7
6.367	2.131	-0.211	2.141	-5.7
6.400	2.132	-0.199	2.141	-5.3
6.433	2.134	-0.179	2.141	-4.8
6.467	2.137	-0.149	2.142	-4.0
6.500	2.138	-0.112	2.141	-3.0
6.533	2.140	-7.006E-2	2.141	-1.9
6.567	2.140	-2.629E-2	2.141	-0.7
6.600	2.138	1.683E-2	2.138	0.5
6.633	2.137	5.584E-2	2.137	1.5
6.667	2.134	8.885E-2	2.136	2.4
6.700	2.130	0.113	2.133	3.0
6.733	2.129	0.126	2.133	3.4
6.767	2.127	0.128	2.131	3.4
6.800	2.126	0.119	2.129	3.2
6.833	2.125	0.101	2.127	2.7
6.867	2.125	7.279E-2	2.126	2.0
6.900	2.125	3.695E-2	2.125	1.0
6.933	2.125	-3.013E-3	2.125	-0.1
6.967	2.125	-4.729E-2	2.126	-1.3
7.000	2.123	-8.839E-2	2.125	-2.4
7.033	2.120	-0.126	2.124	-3.4
7.067	2.115	-0.158	2.121	-4.3
7.100	2.113	-0.183	2.121	-4.9
7.133	2.110	-0.198	2.120	-5.3
7.167	2.110	-0.202	2.120	-5.5
7.200	2.113	-0.194	2.122	-5.3
7.233	2.115	-0.178	2.122	-4.8
7.267	2.118	-0.152	2.124	-4.1
7.300	2.120	-0.119	2.123	-3.2
7.333	2.120	-8.180E-2	2.122	-2.2
7.367	2.120	-4.193E-2	2.120	-1.1
7.400	2.117	4.240E-3	2.117	0.1
7.433	2.115	3.932E-2	2.115	1.1
7.467	2.113	6.804E-2	2.114	1.8
7.500	2.110	9.008E-2	2.112	2.4
7.533	2.109	0.104	2.111	2.8
7.567	2.106	0.108	2.109	2.9
7.600	2.106	0.101	2.109	2.8
7.633	2.107	8.527E-2	2.109	2.3
7.667	2.108	6.120E-2	2.109	1.7
7.700	2.108	2.899E-2	2.108	0.8
7.733	2.107	-7.671E-3	2.107	-0.2
7.767	2.107	-4.636E-2	2.108	-1.3
7.800	2.106	-8.488E-2	2.107	-2.3
7.833	2.105	-0.120	2.109	-3.3
7.867	2.103	-0.150	2.108	-4.1
7.900	2.101	-0.173	2.109	-4.7
7.933	2.101	-0.187	2.109	-5.1
7.967	2.102	-0.191	2.111	-5.2
8.000	2.104	-0.187	2.112	-5.1
8.033	2.107	-0.173	2.114	-4.7
